fid,1930,WKT_geometry
64,0,"LineString (552994.57337785 604898.8490162, 553319.6289495 604566.96464769, 553641.40944341 604453.88355745, 554234.09667755 604559.51965362, 554696.10856407 605379.52396367, 555185.74087241 605779.29822053, 555464.01949839 605804.5690948, 555750.40907937 605511.96402413, 556268.28018007 605512.71734982, 556601.87208781 605864.48689726, 556958.95643649 606057.15815777, 557315.9595874 606460.47367287, 557980.03840798 606860.1707061, 558315.08528366 607270.01710858, 558488.66109409 607400.67814715)"
65,0,"LineString (552548.77050758 600650.63125874, 553048.70453984 600670.23320901, 553307.95393717 600870.25023557, 553445.6526539 600952.67638514, 553611.28898915 600957.63911513, 553826.02303819 601116.75258691, 554581.63444789 600551.98301007, 554576.42338668 600375.81140564, 554550.05376929 600047.01250773, 554913.78323623 599756.03037799, 555180.46284415 599237.68768698, 556343.91098531 598628.24850176)"
66,0,"LineString (552209.43583781 597304.87262149, 552485.30313155 597474.75151314, 552669.79884305 597516.40971936, 552789.31808384 597432.03634426, 552801.73390867 597189.37077547, 552862.76138242 596985.42232603, 553095.66533408 596971.97809064, 554306.26473909 597270.2313018, 554610.7028063 597242.96805938, 554985.36121617 597182.4247767, 555251.60440009 597238.86049376, 555449.2132314 597522.61303323, 555725.6633265 598198.16096867, 556343.91098531 598628.24850176, 557318.48210793 599167.28702804, 557361.23299389 599447.69074255, 557484.00059302 599891.07104001, 557547.22268962 599948.10608481)"
68,0,"LineString (558847.10104706 620984.46687598, 558783.2235867 621321.01242179, 558918.24058644 621418.6598543, 559067.56270797 621408.83705963, 559146.63040006 621704.35801464, 559341.31849281 621962.72822395, 559606.58110784 621955.66068749, 559865.24218332 621890.37624117, 559982.31714438 622161.86086558, 560157.11352495 622206.75846723, 560422.21503248 622128.51903597, 561590.26667619 622115.76286125)"
69,0,"LineString (554296.39891489 619118.33341212, 554566.98090945 619756.94676047, 555600.8984332 620227.01177305, 555666.35674113 620563.32049706, 557659.23872176 621177.9272867, 558444.98388386 621004.69900769, 558847.10104706 620984.46687598, 559184.10603279 620903.34476588, 560258.31164215 620362.78010448, 560469.14445451 619882.39664932)"
70,0,"LineString (554437.96545268 618099.01883986, 556693.10826362 618818.44937518, 557809.77858996 618017.52742536, 557632.18800282 617771.39952675, 557615.26014922 617434.9841792, 557796.14429648 617308.40996504, 558106.17011326 617177.51386257, 558186.94162559 617016.37573766)"
71,0,"LineString (551168.11117615 626402.666654, 551150.48045682 626700.66023668, 551308.14147624 626698.52228418)"
72,0,"LineString (546566.26938984 626103.5836202, 546901.92758934 625746.94468617, 547206.23477906 625753.48148419, 548553.33584215 625718.99218471, 548725.24670963 625601.84375405, 549278.65902465 625702.65122995, 549671.11903349 625767.50468089, 550921.91393032 626260.8758993, 551168.11117615 626402.666654, 549508.49452179 626539.42089756)"
75,0,"LineString (546109.75486799 629943.70554056, 547577.52588313 629642.0227329, 547565.00718835 629409.79207425, 547697.60361088 629174.94547443, 547777.0972453 628954.8161255, 547485.59920967 628737.22801476, 547194.98942251 628909.84598724, 546889.73656239 628460.80877364, 546725.60399335 628549.52022557)"
76,0,"LineString (547577.52588313 629642.0227329, 551028.48925223 628918.50692059, 551706.75637553 628773.62092116)"
