fid,label1930,main_body_water,label1882,alt_label,wkt_geometry
229,Buffels Kreek,Para,Buffels Kreek,,"LineString (554434.15443133 592630.33542529, 554101.12857267 592592.28184925, 553900.43761288 592453.36830572, 553714.88932089 592185.75672623, 553593.71249522 591930.79675745, 553427.7496942 591827.71024627, 553192.35256977 591830.04949179, 553112.953429 592038.22739695, 553002.29174004 592005.66723134, 552872.03026823 591895.38753893, 552609.8890653 591671.85821664, 552369.74884797 591584.70378675, 552269.82874282 591501.1217313, 552130.12742726 591226.42975706, 551786.56162304 590929.52735435, 551207.49451832 590747.58455405, 551003.42801764 590802.05561852, 550359.8579458 591100.3317064, 549701.83023083 591458.23816134, 549300.91423331 591575.56483316, 549079.3164198 591503.55553316, 548739.28547747 591220.35121377)"
230,,Suriname,,,"LineString (548493.02321694 642501.15501383, 548477.56222245 642966.32238342, 548423.5225348 644608.28771209)"
231,,Suriname,,,"LineString (547855.36652702 642644.78143164, 547853.70060265 643044.50892935, 547771.1555043 645101.5671783)"
232,,Suriname,,,"LineString (550363.73964237 641995.39175522, 550361.01875806 640960.33258226)"
233,,Suriname,,,"LineString (551753.1590573 642068.65161269, 551747.9300743 642542.4637724, 551706.95208465 642605.05179722, 551751.35180182 642690.61638417, 551509.29112577 642964.34567777, 551496.44774724 643227.40935936, 551352.21323039 643363.52626512, 551174.08401748 643478.11425035, 550977.11493621 643611.67954562, 550948.79866614 643756.26792951, 550897.52295065 643950.21585982, 550694.37700189 644109.69751018, 550611.21216721 644256.55256761, 550713.45048057 644309.92208489, 550784.76031284 644394.58544285, 550719.57539304 644513.14470034, 550454.45624383 644667.76604508, 550401.98615013 644791.31833431, 550112.3138033 645137.51418593)"
235,,Suriname,,,"LineString (549686.68609351 642254.02907457, 549705.27416225 641256.46512713)"
236,Augusta Kreek,Saramacca,Augusta Kreek,,"LineString (533946.31351404 624742.88302957, 533885.26562758 624930.67456253, 533788.49678816 625060.3097164, 533724.18439878 625235.16719064, 533669.65885744 625445.59206496, 533563.40384286 625672.3112317, 533460.29639636 625860.19852698, 533379.93945984 626093.33014602, 533346.48588267 626149.12187744)"
238,Maho Kreek,Saramacca,Maho Kreek,,"LineString (536203.95197773 632051.47187919, 535997.6188035 632051.09437904, 535680.74461483 632103.59637799, 535130.79623428 632210.06311028, 534474.54257834 632311.45021827, 533629.42134853 632335.38727799, 533188.94506115 632450.21297038)"
239,,Saramacca,,,"LineString (533827.65113831 618762.33576457, 533458.66144364 619029.9400239, 533232.78074109 619256.25607695, 533052.52009312 619667.55773128, 533030.06104846 619751.72887458)"
241,Kleine Locus Kreek,Saramacca,,,"LineString (534187.13316741 609804.11503981, 534401.57459007 609849.31535596, 535058.1678426 609957.95353523, 535465.5295307 610077.90611811)"
243,Grote Locus Kreek,Saramacca,,,"LineString (534113.01871396 609986.59271909, 534288.7255621 610025.8937814, 534687.06695318 610201.34302716, 535245.53273602 610306.19829373, 535886.60377811 610520.5039351, 536187.09760067 610667.60766169)"
245,Krobia Kreek,Saramacca,Krobia Kreek,,"LineString (534607.26661984 629095.77880903, 534904.49397257 629050.49700218, 535019.65248987 628951.97733404, 535189.31376616 628949.94905648, 535352.52689676 629020.35812631, 535475.58886083 629071.84404678, 535556.31466749 629002.09940621, 535744.08387274 629053.43792613, 535889.52427462 628986.78136871, 536070.86673686 629057.54674849, 536335.8053256 628898.40991775, 536718.41869872 629083.03362292, 536946.49681189 629132.4398773, 537024.97077005 629160.11981763)"
246,Watermolen Kreek,Saramacca,Watermolen Kreek,,"LineString (537099.82730369 609001.53132911, 536738.1531759 609020.06014684, 536513.63934709 609322.42682984, 536320.08523733 609320.72056642, 536089.99349795 609211.86218228, 535671.61331835 609183.25766022, 535289.95156523 609133.8390852, 534970.43247534 609138.50620014, 534597.39786656 609153.27291772, 534389.10909173 609130.58819366)"
247,Mope Kreek,Saramacca,Mope Kreek,,"LineString (534396.37067725 636789.91543202, 534601.13358618 637164.09453332, 534711.86794113 637480.9077313, 534835.2850062 637857.96690312, 534822.26855964 638064.40461752, 534732.93886643 638195.03177293, 534634.95529654 638429.70679293, 534621.92414676 638644.46223647)"
248,Kauman Kreek,Saramacca,Kauman Kreek,,"LineString (537724.61889891 620892.94921026, 537440.56388709 621050.40600851, 537059.40374666 621323.03389286, 536813.77888049 621440.05972513, 536529.02383011 621421.28808109, 536069.32602975 621299.37777977, 535719.80466507 621254.86853182, 535448.33947 621221.56532349, 535357.42869128 621249.21273654, 535017.86996711 621317.22133213, 534764.57306499 621282.97747431)"
