similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.833,"De Drie Gebroeders","Drie Gebroeders",4,stm-01332,"De Drie Gebroeders","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"De Drie Gebroeders","Drie Gebroeders",4,stm-02206,"Drie Gebroeders","Cassewinicakreek",""
0.833,"De twee Gebroeders","Twee Gebroeders",2,stm-00791,"De twee Gebroeders","Mot Kreek","Divisie Boven-Cottica en Perica"
0.833,"De twee Gebroeders","Twee Gebroeders",2,stm-02248,"Twee Gebroeders","Saramacca",""
0.833,"Jacob's lust","Jacobslust",3,stm-00865,"Jacob's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Jacob's lust","Jacobslust",3,stm-01702,"Jacob's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Jacob's lust","Jacobslust",3,stm-01267,"Jacobslust","Matappica Kreek",""
0.833,"Johanneshoop","Johanneszoon",2,stm-02115,"Johanneshoop","Suriname",""
0.833,"Johanneshoop","Johanneszoon",2,stm-00603,"Johanneszoon","Matappica Kreek","Divisie Matapplea"
0.833,"Leidenshoop","Liefdenshoop",2,stm-00605,"Leidenshoop","Matappica Kreek",""
0.833,"Leidenshoop","Liefdenshoop",2,stm-02070,"Liefdenshoop","Orelana Kreek","Divisie Beneden-Commewijne"
0.833,"Liefdenshoek","Liefdenshoop",2,stm-01421,"Liefdenshoek","Suriname","Divisie Boven-Suriname en Thorarica"
0.833,"Liefdenshoek","Liefdenshoop",2,stm-02070,"Liefdenshoop","Orelana Kreek","Divisie Beneden-Commewijne"
0.833,"Maria's lust","Sara's lust",6,stm-00831,"Maria's lust","Tapoeripa Kreek","Divisie Matapplea"
0.833,"Maria's lust","Sara's lust",6,stm-00870,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Maria's lust","Sara's lust",6,stm-01704,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Maria's lust","Sara's lust",6,stm-01928,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
0.833,"Maria's lust","Sara's lust",6,stm-01427,"Sara's lust","Suriname","Divisie Boven-Suriname en Thorarica"
