"clusterIndex","variants","clusterLocationsSummary","clusterKnownSpellingsSummary","Atlantische kust","Beneden-Commewijne","Beneden-Saramacca","Booms Kreek","Boven-Commewijne","Boven-Cottica","Boven-Saramacca","Cassewinicakreek","Commetewane Kreek","Coropina Kreek","Cottica","Jonkermans Kreek","Marechals Kreek","Matappica Kreek","Mot Kreek","Nickerierivier","Orelana Kreek","Pad van Wanica","Para Kreek","Paramarica Kreek","Pararak Kreek","Pararakweg","Paulus Kreek","Perica Kreek","Rijweg naar Kwatta","Saramacca","Suriname","Surnaus Kreek","Tapoeripa Kreek","Tawayarie Kreek","Tawaycoera Kreek","Vredenburger Kreek","Wanica Kreek","Warappa Kreek","Wayamoe Kreek","variantCount","recordCount"
"11","Bleyenhoop","Boven-Cottica | Pad van Wanica","Bleyenhoop","","","","","","stm-02367 (Bleyenhoop)","","","","","","","","","","","","stm-02241 (Bleyenhoop)","","","","","","","","","","","","","","","","","","1","2"
"12","Bloemendaal | Bloemendal","Jonkermans Kreek | Marechals Kreek","Bloemendaal | Bloemendal","","","","","","","","","","","","stm-02275 (Bloemendaal)","stm-01458 (Bloemendal)","","","","","","","","","","","","","","","","","","","","","","","2","2"
"13","Bremen","Suriname | Warappa Kreek","Bremen","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02315 (Bremen)","","","","","","","stm-02200 (Bremen)","","1","2"
"14","Broedershoop","Wanica Kreek | Warappa Kreek","Broedershoop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02280 (Broedershoop)","stm-00683 (Broedershoop)","","1","2"
"15","Campenburg | Kampenburg","Beneden-Commewijne","Campenburg | Kampenburg","","stm-00672 (Campenburg); stm-02261 (Kampenburg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2"
"16","Charlottenburg","Boven-Cottica | Coropina Kreek | Nickerierivier","Charlottenburg","","","","","","stm-00822 (Charlottenburg); stm-00825 (Charlottenburg)","","","","stm-02150 (Charlottenburg)","","","","","","stm-02463 (Charlottenburg)","","","","","","","","","","","","","","","","","","","","1","5"
"17","Concordia","Beneden-Saramacca | Boven-Commewijne | Para Kreek","Concordia","","","stm-01081 (Concordia)","","stm-01167 (Concordia)","","","","","","","","","","","","","","stm-01294 (Concordia)","","","","","","","","","","","","","","","","","1","3"
"18","Constantia | Constantie","Boven-Cottica | Matappica Kreek","Constantia | Constantie","","","","","","stm-01198 (Constantie)","","","","","","","","stm-00689 (Constantia)","","","","","","","","","","","","","","","","","","","","","","2","2"
"19","Crappa hoek | Crappahoek","Nickerierivier","Crappa hoek | Crappahoek","","","","","","","","","","","","","","","","stm-00753 (Crappa hoek); stm-01631 (Crappa hoek); stm-02490 (Crappahoek)","","","","","","","","","","","","","","","","","","","","2","3"
"20","Curacabo | Curacao","Boven-Commewijne | Marechals Kreek | Wanica Kreek","Curacabo | Curacao","","","","","stm-01023 (Curacabo)","","","","","","","","stm-01223 (Curacao); stm-01224 (Curacao); stm-01457 (Curacao)","","","","","","","","","","","","","","","","","","","","stm-01681 (Curacao)","","","2","5"
"21","Dageraad (Land van) | De Dageraad (Land van)","Cassewinicakreek | Commetewane Kreek","Dageraad (Land van) | De Dageraad (Land van)","","","","","","","","stm-02205 (Dageraad (Land van))","stm-02471 (De Dageraad (Land van))","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2"
"22","Dankbaarheid | De Dankbaarheid","Beneden-Saramacca | Mot Kreek | Wanica Kreek","Dankbaarheid | De Dankbaarheid","","","stm-00919 (De Dankbaarheid); stm-01712 (De Dankbaarheid)","","","","","","","","","","","","stm-01250 (De Dankbaarheid)","","","","","","","","","","","","","","","","","","stm-01699 (Dankbaarheid)","","","2","4"
"23","De Dageraad","Boven-Commewijne | Commetewane Kreek | Mot Kreek","De Dageraad","","","","","stm-01026 (De Dageraad)","","","","stm-02472 (De Dageraad)","","","","","","stm-00802 (De Dageraad)","","","","","","","","","","","","","","","","","","","","","1","3"
"24","De Drie Gebroeders | De twee Gebroeders | Drie Gebroeders | Twee Gebroeders","Cassewinicakreek | Mot Kreek | Saramacca | Suriname","De drie gebroeders | De Drie Gebroeders | De twee Gebroeders | Drie Gebroeders | Twee Gebroeders","","","","","","","","stm-02206 (Drie Gebroeders)","","","","","","","stm-00791 (De twee Gebroeders)","","","","","","","","","","","stm-02248 (Twee Gebroeders)","stm-00876 (De Drie Gebroeders); stm-01332 (De Drie Gebroeders)","","","","","","","","","4","6"
"25","De Eendragt","Boven-Cottica | Cottica","De Eendragt","","","","","","stm-01217 (De Eendragt); stm-01263 (De Eendragt)","","","","","stm-02285 (De Eendragt)","","","","","","","","","","","","","","","","","","","","","","","","","1","3"
"26","De Goede Hoop","Beneden-Saramacca | Suriname","De Goede Hoop","","","stm-01962 (De Goede Hoop)","","","","","","","","","","","","","","","","","","","","","","","","stm-01423 (De Goede Hoop)","","","","","","","","","1","2"
"27","De goede verwachting | De Goede verwachting | De Goede Verwachting","Beneden-Saramacca | Mot Kreek | Wanica Kreek","De goede verwachting | De Goede verwachting | De Goede Verwachting","","","stm-01776 (De goede verwachting)","","","","","","","","","","","","stm-00820 (De Goede verwachting); stm-00716 (De Goede Verwachting)","","","","","","","","","","","","","","","","","","stm-01388 (De Goede Verwachting)","","","3","4"
"28","De Herstelling","Beneden-Saramacca | Cassewinicakreek | Warappa Kreek","De Herstelling","","","stm-01956 (De Herstelling)","","","","","stm-02210 (De Herstelling)","","","","","","","","","","","","","","","","","","","","","","","","","","stm-00682 (De Herstelling)","","1","3"
"29","De Hoop","Atlantische kust | Suriname","De Hoop","stm-02269 (De Hoop)","","","","","","","","","","","","","","","","","","","","","","","","","","stm-00642 (De Hoop)","","","","","","","","","1","2"
"30","De Hulp","Orelana Kreek | Vredenburger Kreek","De Hulp","","","","","","","","","","","","","","","","","stm-02083 (De Hulp)","","","","","","","","","","","","","","","stm-01144 (De Hulp)","","","","1","2"
"31","De Nieuwe Aanleg | Nieuwe Aanleg","Beneden-Saramacca | Orelana Kreek | Rijweg naar Kwatta","De Nieuwe Aanleg | Nieuwe Aanleg","","","stm-02457 (Nieuwe Aanleg)","","","","","","","","","","","","","","stm-02088 (Nieuwe Aanleg)","","","","","","","","stm-02446 (De Nieuwe Aanleg)","","","","","","","","","","","2","3"
"32","De Nieuwe Hoop | De Nieuwhoop","Boven-Commewijne | Para Kreek | Saramacca","De Nieuwe Hoop | De Nieuwhoop | Nieuwe Hoop","","","","","stm-01179 (De Nieuwhoop)","","","","","","","","","","","","","","stm-01507 (De Nieuwe Hoop)","","","","","","","stm-00951 (De Nieuwe Hoop); stm-01720 (De Nieuwe Hoop)","","","","","","","","","","2","4"
"33","De Resolutie","Jonkermans Kreek | Suriname","De Resolutie","","","","","","","","","","","","stm-02106 (De Resolutie)","","","","","","","","","","","","","","","stm-02316 (De Resolutie)","","","","","","","","","1","2"
"34","De Vier Gezusters","Boven-Saramacca | Orelana Kreek","De Vier Gezusters","","","","","","","stm-01914 (De Vier Gezusters)","","","","","","","","","","stm-02063 (De Vier Gezusters)","","","","","","","","","","","","","","","","","","","1","2"
"35","De vrede | De Vrede","Boven-Cottica | Para Kreek","De vrede | De Vrede","","","","","","stm-01122 (De Vrede)","","","","","","","","","","","","","stm-01535 (De Vrede)","","","","","","","","","","","","","","","","","2","3"
