qid;map_id;label_on_map;has_polygon
Q3262071;MAP_1860-79;Purmerend;false
Q2408563;MAP_1930;Klein Bellevue;true
Q2408563;MAP_1860-79;Klein Bellevue;false
Q59115279;MAP_1930;Aan Bodenburg;true
Q59115279;MAP_1860-79;Aan Bodemburg;false
Q59133977;MAP_1930;Vaderszorg en Karelsdeel;true
Q59133977;MAP_1860-79;Vaderszorg en Karelsdeel;false
Q59115362;MAP_1930;Vaderszorg en Karelsdeel;true
Q59115362;MAP_1860-79;Vaderszorg en Karelsdeel;false
Q59115237;MAP_1930;Beudslust;true
Q59115237;MAP_1860-79;Beudslust;false
Q59116915;MAP_1930;Labadieshoop;true
Q59116915;MAP_1860-79;Labadies hoop;false
Q130359097;MAP_1930;Anna Elizabeth;true
Q130359097;MAP_1860-79;Anna Elizabeth;false
Q59115326;MAP_1930;Aan Bruinendaal;true
Q59115326;MAP_1860-79;Aan Bruinendaal;false
Q59115138;MAP_1930;Aan Alderat;true
Q59115138;MAP_1860-79;Aan Alderat;false
Q59119439;MAP_1930;Aan Moed en Kommer;true
Q59119439;MAP_1860-79;Aan Moed en Kommer;false
Q124812501;MAP_1930;Abigail's lust;true
Q124812501;MAP_1860-79;Abigail's lust;false
Q28150229;MAP_1930;Waterloo;true
Q28150229;MAP_1860-79;Waterloo;false
Q59115140;MAP_1930;Alsimo;true
Q59115140;MAP_1860-79;Alsimo;false
Q59115566;MAP_1930;Esther's rust;true
Q59115566;MAP_1860-79;Esther's rust;false
Q59119435;MAP_1930;Moed en Kommer;true
Q59119435;MAP_1860-79;Moed en Kommer;false
Q59115187;MAP_1930;Badenstein;true
Q59115187;MAP_1860-79;Badenstein;false
Q124815044;MAP_1930;Aan Anna's zorg;true
Q124815044;MAP_1860-79;Aan Anna's zorg;false
Q59115265;MAP_1930;Blijdenhoop;true
Q59115265;MAP_1860-79;Blijden Hoop;false
Q131286984;MAP_1930;Onverdacht;true
Q131286984;MAP_1860-79;Onverdacht;false
Q135395666;MAP_1930;Amsterdam;true
Q135395666;MAP_1860-79;Amsterdam;false
Q98012568;MAP_1930;Onverwacht;true
Q98012568;MAP_1860-79;Onverwacht;false
Q59115630;MAP_1930;De Goede Verwachting;true
Q59115630;MAP_1860-79;De Goede Verwachting;false
Q59132809;MAP_1930;Naccarikkibo;true
Q59132809;MAP_1860-79;Naccarikkibo;false
Q59115435;MAP_1930;Alida;true
Q59115435;MAP_1860-79;Alida;false
